iter	Passed	Remaining
0	8	3498
1	18	3756
2	26	3510
3	35	3477
4	44	3497
5	52	3454
6	61	3475
7	71	3522
8	81	3543
9	90	3546
10	99	3514
11	108	3494
12	115	3443
13	126	3496
14	136	3513
15	145	3495
16	155	3492
17	164	3492
18	172	3459
19	180	3426
20	187	3390
21	194	3348
22	202	3315
23	210	3291
24	218	3277
25	225	3248
26	234	3239
27	242	3217
28	250	3206
29	258	3188
30	266	3167
31	273	3149
32	281	3131
33	289	3112
34	296	3095
35	304	3078
36	312	3064
37	320	3050
38	328	3042
39	336	3028
40	345	3021
41	352	3002
42	360	2993
43	368	2981
44	375	2964
45	382	2945
46	390	2931
47	397	2917
48	405	2907
49	414	2900
50	423	2894
51	431	2884
52	439	2879
53	447	2870
54	456	2864
55	466	2864
56	474	2855
57	483	2848
58	490	2837
59	499	2831
60	507	2820
61	514	2806
62	522	2795
63	530	2786
64	538	2776
65	547	2768
66	555	2758
67	562	2746
68	570	2737
69	578	2729
70	587	2723
71	596	2718
72	605	2713
73	614	2706
74	622	2698
75	631	2690
76	639	2683
77	648	2676
78	657	2670
79	665	2661
80	673	2653
81	682	2645
82	691	2640
83	699	2631
84	708	2624
85	717	2621
86	725	2610
87	734	2605
88	743	2597
89	750	2585
90	759	2577
91	768	2572
92	777	2565
93	785	2557
94	794	2552
95	803	2545
96	812	2536
97	821	2530
98	828	2520
99	837	2511
100	846	2504
101	854	2496
102	863	2489
103	871	2481
104	880	2473
105	888	2464
106	895	2453
107	904	2446
108	913	2439
109	922	2433
110	932	2427
111	940	2419
112	949	2411
113	958	2403
114	966	2396
115	976	2389
116	984	2380
117	992	2372
118	1001	2365
119	1010	2358
120	1019	2351
121	1027	2340
122	1036	2333
123	1044	2324
124	1052	2315
125	1061	2308
126	1071	2302
127	1079	2294
128	1087	2285
129	1093	2271
130	1101	2261
131	1110	2253
132	1118	2245
133	1127	2239
134	1136	2231
135	1143	2220
136	1153	2214
137	1162	2206
138	1171	2199
139	1179	2189
140	1186	2179
141	1194	2170
142	1202	2160
143	1210	2151
144	1217	2141
145	1225	2131
146	1232	2121
147	1240	2111
148	1246	2100
149	1254	2090
150	1262	2082
151	1270	2073
152	1278	2063
153	1285	2053
154	1293	2043
155	1300	2034
156	1307	2024
157	1315	2014
158	1322	2005
159	1330	1995
160	1338	1987
161	1346	1978
162	1354	1969
163	1362	1960
164	1369	1951
165	1377	1942
166	1384	1932
167	1391	1922
168	1399	1913
169	1408	1905
170	1414	1894
171	1422	1886
172	1430	1876
173	1438	1868
174	1447	1860
175	1455	1852
