project_id,project_name,state,sector,agency,project_status,start_date,original_completion_date,revised_completion_date,actual_completion_date,report_date,original_cost,revised_cost,cumulative_expenditure,monthly_expenditure,actual_final_expenditure,physical_progress,financial_progress,planned_physical_progress,planned_financial_progress,delay_months,delay_days,land_acquisition_pct,delay_reason,previous_physical_progress,monthly_progress,progress_change_1_month,progress_change_3_months,progress_change_6_months,average_monthly_progress_3m,average_monthly_progress_6m,progress_acceleration,progress_trend,progress_slowdown,remaining_progress,previous_cumulative_expenditure,calculated_monthly_expenditure,expenditure_change_1_month,expenditure_change_3_months,average_monthly_spending_3m,average_monthly_spending_6m,total_spending_last_3m,total_spending_last_6m,expenditure_growth_rate,monthly_spending_trend,progress_mismatch_gap,mismatch_status,project_age_months,planned_duration_months,elapsed_duration_months,expected_delay_months,completion_date_difference_days,reporting_gap_days,progress_velocity,remaining_months
803,Kochi - Koottanad - Bangalore - Mangalore Pipeline Phase-II (Ministry of Petroleum & Natural Gas) (701228),"Multi-States (Karnataka, Kerala, Tamil Nadu)",Road Transport & Highways,NHAI,COMPLETED,2009-06-01,2012-12-01,2026-09-01,2026-09-01,2026-01-28,2915.0,5909.0,2634.67,2634.67,5077.72,53.1,53.1,58.1,57.1,99,3013,0,Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.,,,,0.0,0.0,0.0,0.0,,stable,0,46.9,,,2634.67,,2634.67,2634.67,2634.67,2634.67,0.0,stable,0.0,Normal,199.8870636550308,42.0,199.8870636550308,99,5022,30.0,0.265650007704556,7.112936344969199
803,Kochi - Koottanad - Bangalore - Mangalore Pipeline Phase-II (Ministry of Petroleum & Natural Gas) (701228),"Multi-States (Karnataka, Kerala, Tamil Nadu)",Road Transport & Highways,NHAI,COMPLETED,2009-06-01,2012-12-01,2026-09-01,2026-09-01,2026-02-28,2915.0,5909.0,3017.89,3017.89,5077.72,60.9,60.8,67.1,64.8,111,3365,0,Additional land acquisition for bypass alignment submitted to District Revenue authority.,53.1,7.799999999999997,7.799999999999997,0.0,0.0,7.799999999999997,7.799999999999997,,stable,0,39.1,2634.67,383.2199999999998,3017.89,,2826.2799999999997,2826.2799999999997,5652.5599999999995,5652.5599999999995,0.1454527511984422,stable,-0.1000000000000014,Normal,200.8870636550308,42.0,200.8870636550308,111,5022,31.0,0.3031554092730394,6.112936344969199
803,Kochi - Koottanad - Bangalore - Mangalore Pipeline Phase-II (Ministry of Petroleum & Natural Gas) (701228),"Multi-States (Karnataka, Kerala, Tamil Nadu)",Road Transport & Highways,NHAI,COMPLETED,2009-06-01,2012-12-01,2026-09-01,2026-09-01,2026-03-30,2915.0,5909.0,3449.02,3449.02,5077.72,69.6,69.5,77.0,73.5,122,3716,0,Private land parcels demarcation completed; physical possession handover scheduled next cycle.,60.9,8.699999999999996,8.699999999999996,0.0,0.0,8.249999999999996,8.249999999999996,0.8999999999999986,increasing,0,30.40000000000001,3017.89,431.1300000000001,3449.02,,3033.86,3033.86,9101.58,9101.58,0.1428580895923973,increasing,-0.0999999999999943,Normal,201.952772073922,42.0,201.952772073922,122,5022,30.0,0.3446350316722757,5.047227926078029
803,Kochi - Koottanad - Bangalore - Mangalore Pipeline Phase-II (Ministry of Petroleum & Natural Gas) (701228),"Multi-States (Karnataka, Kerala, Tamil Nadu)",Road Transport & Highways,NHAI,COMPLETED,2009-06-01,2012-12-01,2026-09-01,2026-09-01,2026-04-29,2915.0,5909.0,3832.24,3832.24,5077.72,77.3,77.2,85.9,81.2,134,4068,0,Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.,69.6,7.700000000000003,7.700000000000003,24.199999999999996,0.0,8.066666666666665,8.066666666666665,-0.9999999999999928,decreasing,0,22.700000000000003,3449.02,383.2199999999998,3832.24,1197.5699999999997,3433.0499999999997,3233.455,10299.15,12933.82,0.1111098225003043,increasing,-0.0999999999999943,Normal,202.9199178644764,42.0,202.9199178644764,134,5022,30.0,0.3809384549998988,4.080082135523614
803,Kochi - Koottanad - Bangalore - Mangalore Pipeline Phase-II (Ministry of Petroleum & Natural Gas) (701228),"Multi-States (Karnataka, Kerala, Tamil Nadu)",Road Transport & Highways,NHAI,COMPLETED,2009-06-01,2012-12-01,2026-09-01,2026-09-01,2026-05-30,2915.0,5909.0,4167.56,4167.56,5077.72,84.0,84.0,93.8,88.0,145,4419,0,Additional land acquisition for bypass alignment submitted to District Revenue authority.,77.3,6.700000000000003,6.700000000000003,23.1,0.0,7.7,7.725,-1.0,decreasing,0,16.0,3832.24,335.3200000000006,4167.56,1149.6700000000003,3816.273333333333,3420.2760000000003,11448.82,17101.38,0.0874997390560091,stable,0.0,Normal,203.952772073922,42.0,203.952772073922,145,5022,31.0,0.4118600553737729,3.047227926078029
803,Kochi - Koottanad - Bangalore - Mangalore Pipeline Phase-II (Ministry of Petroleum & Natural Gas) (701228),"Multi-States (Karnataka, Kerala, Tamil Nadu)",Road Transport & Highways,NHAI,COMPLETED,2009-06-01,2012-12-01,2026-09-01,2026-09-01,2026-06-29,2915.0,5909.0,4502.88,4502.88,5077.72,90.8,90.7,100.0,94.7,157,4771,0,Private land parcels demarcation completed; physical possession handover scheduled next cycle.,84.0,6.799999999999997,6.799999999999997,21.200000000000003,0.0,7.066666666666667,7.539999999999999,0.0999999999999943,stable,0,9.200000000000005,4167.56,335.3199999999997,4502.88,1053.86,4167.56,3600.7100000000005,12502.68,21604.26,0.080459549472593,stable,-0.0999999999999943,Normal,204.9199178644764,42.0,204.9199178644764,157,5022,30.0,0.443099923844643,2.080082135523614
803,Kochi - Koottanad - Bangalore - Mangalore Pipeline Phase-II (Ministry of Petroleum & Natural Gas) (701228),"Multi-States (Karnataka, Kerala, Tamil Nadu)",Road Transport & Highways,NHAI,COMPLETED,2009-06-01,2012-12-01,2026-09-01,2026-09-01,2026-07-31,2915.0,5909.0,4790.3,4790.3,5077.72,96.6,96.5,100.0,100.0,168,5122,0,Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.,90.8,5.799999999999997,5.799999999999997,19.299999999999997,43.49999999999999,6.433333333333333,7.249999999999999,-1.0,decreasing,0,3.4000000000000057,4502.88,287.4200000000001,4790.3,958.0600000000004,4486.913333333334,3959.981666666667,13460.740000000002,23759.890000000003,0.0638302597448744,stable,-0.0999999999999943,Normal,205.98562628336757,42.0,205.98562628336757,168,5022,32.0,0.468964761002841,1.0143737166324436
803,Kochi - Koottanad - Bangalore - Mangalore Pipeline Phase-II (Ministry of Petroleum & Natural Gas) (701228),"Multi-States (Karnataka, Kerala, Tamil Nadu)",Road Transport & Highways,NHAI,COMPLETED,2009-06-01,2012-12-01,2026-09-01,2026-09-01,2026-08-31,2915.0,5909.0,5077.72,5077.72,5077.72,100.0,100.0,100.0,100.0,180,5474,0,Additional land acquisition for bypass alignment submitted to District Revenue authority.,96.6,3.4000000000000057,3.4000000000000057,16.0,39.1,5.333333333333333,6.516666666666667,-2.3999999999999915,decreasing,0,0.0,4790.3,287.4200000000001,5077.72,910.16,4790.3,4303.286666666667,14370.9,25819.72,0.0600004175103855,stable,0.0,Normal,206.98562628336757,42.0,206.98562628336757,180,5022,31.0,0.4831253348147854,0.014373716632443578
961,Western Dedicated Freight Corridor (DFCCIL) (705237),"Multi-States (Gujarat, Haryana, Maharashtra, Rajasthan, Uttar Pradesh)",Road Transport & Highways,NHAI,COMPLETED,2012-01-01,2022-03-01,2025-12-01,2025-12-01,2026-01-28,51101.0,124005.0,68542.65,68542.65,132100.38,52.8,53.1,57.8,57.1,27,823,0,Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.,,,,0.0,0.0,0.0,0.0,,stable,0,47.2,,,68542.65,,68542.65,68542.65,68542.65,68542.65,0.0,stable,0.3000000000000042,Normal,168.8870636550308,122.0,168.8870636550308,27,1371,30.0,0.3126349576889407,0.0
961,Western Dedicated Freight Corridor (DFCCIL) (705237),"Multi-States (Gujarat, Haryana, Maharashtra, Rajasthan, Uttar Pradesh)",Road Transport & Highways,NHAI,COMPLETED,2012-01-01,2022-03-01,2025-12-01,2025-12-01,2026-02-28,51101.0,124005.0,78512.49,78512.49,132100.38,60.5,60.8,66.7,64.8,30,919,0,Tree felling completed in non-forest zone; compensatory afforestation deposit certified.,52.8,7.700000000000003,7.700000000000003,0.0,0.0,7.700000000000003,7.700000000000003,,stable,0,39.5,68542.65,9969.840000000013,78512.49,,73527.57,73527.57,147055.14,147055.14,0.1454545454545456,stable,0.2999999999999971,Normal,169.8870636550308,122.0,169.8870636550308,30,1371,31.0,0.3561189339457303,0.0
