project_id,project_name,state,sector,agency,project_status,start_date,original_completion_date,revised_completion_date,actual_completion_date,report_date,original_cost,revised_cost,cumulative_expenditure,monthly_expenditure,actual_final_expenditure,physical_progress,financial_progress,planned_physical_progress,planned_financial_progress,delay_months,delay_days,land_acquisition_pct,delay_reason,previous_physical_progress,monthly_progress,progress_change_1_month,progress_change_3_months,progress_change_6_months,average_monthly_progress_3m,average_monthly_progress_6m,progress_acceleration,progress_trend,progress_slowdown,remaining_progress,previous_cumulative_expenditure,calculated_monthly_expenditure,expenditure_change_1_month,expenditure_change_3_months,average_monthly_spending_3m,average_monthly_spending_6m,total_spending_last_3m,total_spending_last_6m,expenditure_growth_rate,monthly_spending_trend,progress_mismatch_gap,mismatch_status,project_age_months,planned_duration_months,elapsed_duration_months,expected_delay_months,completion_date_difference_days,reporting_gap_days,progress_velocity
157,Vishnugad Pipalkoti Hydro Electric Project [444 MW] (THDC India Limited) (602195),Uttarakhand,Road Transport & Highways,NHAI,IN_PROGRESS,2014-01-01,2022-12-01,2027-09-01,,2026-01-28,3860.35,6405.08,2986.14,2986.14,,44.0,53.1,49.0,57.1,34,1041,0,HT power transmission line shifting in progress by state electricity distribution company.,,,,,,,,,stable,0,56.0,,,2986.14,,2986.14,2986.14,2986.14,2986.14,0.0,stable,9.100000000000001,Normal,144.8870636550308,107.0,144.8870636550308,34,1735,30.0,0.3036848072562358
157,Vishnugad Pipalkoti Hydro Electric Project [444 MW] (THDC India Limited) (602195),Uttarakhand,Road Transport & Highways,NHAI,IN_PROGRESS,2014-01-01,2022-12-01,2027-09-01,,2026-02-28,3860.35,6405.08,3420.49,3420.49,,50.4,60.8,56.6,64.8,38,1162,0,Underground water pipeline relocation package awarded to state water board.,44.0,6.399999999999999,6.399999999999999,,,6.399999999999999,6.399999999999999,,stable,0,49.6,2986.14,434.3499999999999,3420.49,,3203.3149999999996,3203.3149999999996,6406.629999999999,6406.629999999999,0.14545533699022817,stable,10.399999999999999,Monitor,145.8870636550308,107.0,145.8870636550308,38,1735,31.0,0.3454727152448379
157,Vishnugad Pipalkoti Hydro Electric Project [444 MW] (THDC India Limited) (602195),Uttarakhand,Road Transport & Highways,NHAI,IN_PROGRESS,2014-01-01,2022-12-01,2027-09-01,,2026-03-30,3860.35,6405.08,3909.13,3909.13,,57.6,69.5,65.0,73.5,42,1284,0,Gas pipeline crossing clearance received from GAIL; trenching work underway.,50.4,7.200000000000003,7.200000000000003,,,6.800000000000001,6.800000000000001,0.8000000000000043,increasing,0,42.4,3420.49,488.6400000000003,3909.13,,3438.5866666666666,3438.5866666666666,10315.76,10315.76,0.14285672520603784,increasing,11.899999999999999,Monitor,146.95277207392198,107.0,146.95277207392198,42,1735,30.0,0.3919626638347819
157,Vishnugad Pipalkoti Hydro Electric Project [444 MW] (THDC India Limited) (602195),Uttarakhand,Road Transport & Highways,NHAI,IN_PROGRESS,2014-01-01,2022-12-01,2027-09-01,,2026-04-29,3860.35,6405.08,4343.48,4343.48,,64.0,77.2,72.6,81.2,46,1405,0,HT power transmission line shifting in progress by state electricity distribution company.,57.6,6.399999999999999,6.399999999999999,20.0,,6.666666666666667,6.666666666666667,-0.8000000000000043,decreasing,0,36.0,3909.13,434.34999999999945,4343.48,1357.3399999999997,3891.0333333333333,3664.81,11673.1,14659.24,0.11111167958087846,increasing,13.200000000000003,Monitor,147.9199178644764,107.0,147.9199178644764,46,1735,30.0,0.4326665463581215
157,Vishnugad Pipalkoti Hydro Electric Project [444 MW] (THDC India Limited) (602195),Uttarakhand,Road Transport & Highways,NHAI,IN_PROGRESS,2014-01-01,2022-12-01,2027-09-01,,2026-05-30,3860.35,6405.08,4723.53,4723.53,,69.6,84.0,79.4,88.0,50,1527,0,Underground water pipeline relocation package awarded to state water board.,64.0,5.599999999999994,5.599999999999994,19.199999999999996,,6.399999999999999,6.399999999999999,-0.8000000000000043,decreasing,0,30.400000000000006,4343.48,380.0500000000002,4723.53,1303.04,4325.38,3876.554,12976.14,19382.77,0.08749896396437884,stable,14.400000000000006,Monitor,148.95277207392198,107.0,148.95277207392198,50,1735,31.0,0.4672622001654259
157,Vishnugad Pipalkoti Hydro Electric Project [444 MW] (THDC India Limited) (602195),Uttarakhand,Road Transport & Highways,NHAI,IN_PROGRESS,2014-01-01,2022-12-01,2027-09-01,,2026-06-29,3860.35,6405.08,5103.59,5103.59,,75.2,90.7,86.2,94.7,54,1648,0,Gas pipeline crossing clearance received from GAIL; trenching work underway.,69.6,5.6000000000000085,5.6000000000000085,17.6,,5.866666666666667,6.24,1.4210854715202004e-14,stable,0,24.799999999999997,4723.53,380.0600000000004,5103.59,1194.46,4723.533333333333,4081.06,14170.599999999999,24486.36,0.0804610111505591,stable,15.5,Monitor,149.9199178644764,107.0,149.9199178644764,54,1735,30.0,0.5016011285970607
157,Vishnugad Pipalkoti Hydro Electric Project [444 MW] (THDC India Limited) (602195),Uttarakhand,Road Transport & Highways,NHAI,IN_PROGRESS,2014-01-01,2022-12-01,2027-09-01,,2026-07-31,3860.35,6405.08,5429.35,5429.35,,80.0,96.5,92.2,100.0,58,1770,0,HT power transmission line shifting in progress by state electricity distribution company.,75.2,4.799999999999997,4.799999999999997,16.0,36.0,5.333333333333333,6.0,-0.8000000000000114,decreasing,0,20.0,5103.59,325.7600000000002,5429.35,1085.8700000000008,5085.490000000001,4488.261666666666,15256.470000000001,26929.57,0.06382957878669725,stable,16.5,Monitor,150.98562628336757,107.0,150.98562628336757,58,1735,32.0,0.5298517611859105
157,Vishnugad Pipalkoti Hydro Electric Project [444 MW] (THDC India Limited) (602195),Uttarakhand,Road Transport & Highways,NHAI,IN_PROGRESS,2014-01-01,2022-12-01,2027-09-01,,2026-08-31,3860.35,6405.08,5755.11,5755.11,,84.8,100.0,98.2,100.0,62,1891,0,Underground water pipeline relocation package awarded to state water board.,80.0,4.799999999999997,4.799999999999997,15.200000000000003,34.4,5.066666666666667,5.733333333333333,0.0,stable,0,15.200000000000003,5429.35,325.7599999999993,5755.11,1031.58,5429.35,4877.365,16288.050000000001,29264.19,0.05999981581588943,stable,15.200000000000003,Monitor,151.98562628336757,107.0,151.98562628336757,62,1735,31.0,0.5579474985476309
160,Expansion of Malanjkhand Copper Project (Hindustan Copper Limited [HCL]) (400426),Madhya Pradesh,Road Transport & Highways,NHAI,IN_PROGRESS,2015-04-01,2020-04-01,2029-03-01,,2026-01-28,1856.36,3800.0,530.79,530.79,,46.7,28.6,51.7,32.6,64,1954,0,Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.,,,,,,,,,stable,0,53.3,,,530.79,,530.79,530.79,530.79,530.79,0.0,stable,-18.1,Monitor,129.8870636550308,60.0,129.8870636550308,64,3256,30.0,0.3595431191210181
160,Expansion of Malanjkhand Copper Project (Hindustan Copper Limited [HCL]) (400426),Madhya Pradesh,Road Transport & Highways,NHAI,IN_PROGRESS,2015-04-01,2020-04-01,2029-03-01,,2026-02-28,1856.36,3800.0,607.99,607.99,,53.5,32.8,59.7,36.8,72,2182,0,Additional land acquisition for bypass alignment submitted to District Revenue authority.,46.7,6.799999999999997,6.799999999999997,,,6.799999999999997,6.799999999999997,,stable,0,46.5,530.79,77.20000000000005,607.99,,569.39,569.39,1138.78,1138.78,0.1454435840916371,stable,-20.700000000000003,Warning,130.8870636550308,60.0,130.8870636550308,72,3256,31.0,0.4087493332496627
